UserId,Department/Region,Course/programme/project's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,In person or online or both,With certification (Yes or No),New or long-standing,Funding source (Options: regular budget or extrabudgetary),Focus (Options: Youth only or Youth is one of the target groups),For public use or ILO staff only,year
USR-202506-0017,Sectoral Policies,Rural Developmen Academy,GLO433,https://www.itcilo.org/courses/ilo-academy-rural-development,"The 2025 Rural Development Academy comes at a crucial time as rural economies worldwide strive to create opportunities for decent work and promote social inclusion in an era of environmental change. Rural areas increasingly face challenges like climate impacts, biodiversity loss and shifting agricultural demands. This Academy will provide a platform to explore how a just transition can foster inclusive and resilient rural economies. A just transition towards environmentally sustainable economies and societies for all must be rooted in social justice and responsive to intergenerational needs, including the aspirations of young women and men in rural areas, leaving no one behind.",both/hybrid,Yes,Long-standing,Regular Budget,Youth are one of the target groups,Public use,2024
USR-202506-0017,Sectoral Policies,ILO-ITC Decent Jobs for Youth Training,GLO433 and GLO435,https://www.itcilo.org/courses/decent-jobs-rural-youth,"This course aims to addressed issues related to promoting decent jobs for youth in rural areas, by providing an in-depth understanding of the context of rural employment in developing countries, outlining the particular challenges faced by rural youth, and young women in particular. It explored the various policy elements and intervention approaches that are needed to support rural youths.The course is of particular interest to policy-makers, planners, technical officials of relevant ministries, and other technical experts from relevant institutions. In particular, the course caters for policy advisors and practitioners from ministries of labour and employment, agriculture and rural development, economy and planning, other sectoral ministries, social partners, researchers and policy analysts from international, regional and national organizations, academia and donor organizations, particularly those who are active in the area of rural development. A gender-balanced participation is sought",online,Yes,New,Regular Budget,Youth only,Public use,2024
USR-202506-0018,Universal Social Protection,,,,,,,,,,,2024
USR-202506-0018,Universal Social Protection,,,,,,,,,,,2024
USR-202506-0018,Universal Social Protection,,,,,,,,,,,2024
USR-202506-0019,Region: Arab States,Regional Seminar under the Youth NEET programme,3.1 and 2.4,https://www.ilo.org/resource/news/ilo-organizes-regional-seminar-tunis-empower-policymakers-tackling-youth,"The seminar provided a thorough understanding of the challenges faced by NEET youth and equipped representatives from ministries, employment services, and social partners with tools and policies to improve employment and education access. Developed by the ITC ILO, the training covered key aspects of NEET engagement, including causes, intervention strategies, outreach methods, and support services. It highlighted successful international practices, such as the European Youth Guarantee, and introduced tools like profiling, mentoring, and employment incentives. The in-person seminar in Tunis also enabled participants to develop context-specific action plans and identify areas for technical support.",in-person,No,New,extrabudgetary,Youth only,Public use,2024
USR-202506-0020,Region: Asia and the Pacific,Youth Employment Promotion Project,MNG155,https://www.ilo.org/meetings-and-events/decent-work-youth-network-members-advocating-youth-rights-work,"The Clinical Education Center of the School of Law, National University of Mongolia (NUM)  and Decent Work for Youth Network organized the training using a newly translated Work Wise Youth guide tool that covers everything from young people¡¯s rights at work, including wages, occupational safety and health, prevention of violence and harassment in the world of work, and access to social security. The training was conducted in UB and 5 provinces, where 275 youths participated.",in-person,yes,New,extrabudgetary,Youth only,Public use,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
